product_id,product_name,category,brand
P00014,Drone Mini,Electronics,BrightLux
P00040,Microphone,Electronics,UrbanStyle
P00044,Power Bank 20000mAh,Electronics,UrbanStyle
P00041,Webcam Full HD,Electronics,Zenith
P00029,T-Shirt,Clothing,KiddoFun
P00023,Cookware Set,Home & Kitchen,ReadMore
P00030,Dress Shirt,Clothing,UrbanStyle
P00028,Jeans,Clothing,KiddoFun
P00031,Kids Toy Car,Toys & Games,Apex
P00001,Wireless Earbuds,Electronics,Apex
P00046,Car Charger,Electronics,HomeEase
P00042,Projector Mini,Electronics,KiddoFun
P00018,Vacuum Cleaner,Home & Kitchen,Zenith
P00035,Desk Plant,Home & Kitchen,HomeEase
P00025,Running Shoes,Sports & Outdoors,Zenith
P00039,Graphic Tablet,Electronics,KiddoFun
P00033,Puzzle 1000pc,Toys & Games,ReadMore
P00010,Smartwatch,Electronics,ReadMore
P00003,Smartphone Case,Electronics,Apex
P00021,Backpack,Sports & Outdoors,ReadMore
P00008,4K Monitor,Electronics,KiddoFun
P00036,Smart Light Bulb,Home & Kitchen,UrbanStyle
P00019,LED Desk Lamp,Home & Kitchen,HomeEase
P00045,Phone Tripod,Electronics,ReadMore
P00006,Gaming Mouse,Electronics,FitLife
P00047,Memory Card 128GB,Electronics,CoreTech
P00032,Board Game,Toys & Games,CoreTech
P00015,Instant Pot,Home & Kitchen,ReadMore
P00022,Water Bottle,Sports & Outdoors,HomeEase
P00009,Portable SSD 1TB,Electronics,HomeEase
P00012,Noise Cancelling Headphones,Electronics,KiddoFun
P00050,Novel Bestseller,Books,NexPro
P00049,Children's Book,Books,FitLife
P00005,Laptop Sleeve,Electronics,UrbanStyle
P00016,Air Fryer,Home & Kitchen,Apex
P00027,Winter Jacket,Clothing,NexPro
P00037,Router,Electronics,BrightLux
P00004,USB-C Charger,Electronics,HomeEase
P00011,Fitness Band,Electronics,Zenith
P00026,Sunglasses,Clothing,NexPro
P00007,Mechanical Keyboard,Electronics,CoreTech
P00017,Electric Kettle,Home & Kitchen,KiddoFun
P00048,Wireless Charger,Electronics,HomeEase
P00043,HDMI Cable 2m,Electronics,NexPro
P00034,Desk Organizer,Home & Kitchen,HomeEase
P00024,Yoga Mat,Sports & Outdoors,UrbanStyle
P00013,Action Camera,Electronics,ReadMore
P00038,External HDD 2TB,Electronics,UrbanStyle
P00020,Office Chair,Home & Kitchen,FitLife
P00002,Bluetooth Speaker,Electronics,KiddoFun
